Position,Track Name,Artist,Streams,URL,Date,Unique ID
74,Wow.,Post Malone,7583437,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg,01.02.20,
75,Piece Of Your Heart,MEDUZA,7528318,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs,01.02.20,
76,Robbery,Juice WRLD,7413273,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,01.02.20,
77,Mean It,Lauv,7375362,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX,01.02.20,
78,Aventura,Lunay,7346877,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon,01.02.20,
79,Sucker,Jonas Brothers,7252733,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD,01.02.20,
80,Shape of You,Ed Sheeran,7245188,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,01.02.20,
81,Bohemian Rhapsody - 2011 Mix,Queen,7130407,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,01.02.20,
82,Truth Hurts,Lizzo,7088919,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh,01.02.20,
83,rockstar (feat. 21 Savage),Post Malone,7015730,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,01.02.20,
84,Blanco,J Balvin,6912122,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc,01.02.20,
85,Hate Me (with Juice WRLD),Ellie Goulding,6901186,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE,01.02.20,
86,Indeciso,Reik,6890540,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14,01.02.20,
87,If the World Was Ending - feat. Julia Michaels,JP Saxe,6817858,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,01.02.20,
88,"thank u, next",Ariana Grande,6803820,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,01.02.20,
89,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,6759098,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx,01.02.20,
90,Quizas,Rich Music LTD,6742507,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe,01.02.20,
91,Sweet but Psycho,Ava Max,6741011,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,01.02.20,
92,Money In The Grave (Drake ft. Rick Ross),Drake,6716099,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb,01.02.20,
93,SICKO MODE,Travis Scott,6686410,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,01.02.20,
94,Girls Like You (feat. Cardi B),Maroon 5,6632526,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,01.02.20,
95,"Yo x Ti, Tu x Mi",ROSALÍA,6619985,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk,01.02.20,
96,Without Me,Halsey,6610494,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,01.02.20,
97,Tutu,Camilo,6603051,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ,01.02.20,
98,Believer,Imagine Dragons,6588599,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,01.02.20,
99,Liberdade Provisória,Henrique & Juliano,6574093,https://open.spotify.com/track/1vG3YuKRYqPwTmNmYgqkpg,01.02.20,
100,Bellaquita - Remix,Dalex,6563206,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA,01.02.20,
101,Con Altura,ROSALÍA,6553879,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM,01.02.20,
102,Into the Unknown,Idina Menzel,6489811,https://open.spotify.com/track/3Z0oQ8r78OUaHvGPiDBR3W,01.02.20,
103,VIBEZ,DaBaby,6480604,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM,01.02.20,
104,Si Te Vas,Sech,6431230,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0,01.02.20,
105,Con Calma,Daddy Yankee,6420739,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,01.02.20,
106,Soltera - Remix,Lunay,6413514,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z,01.02.20,
107,Graveyard,Halsey,6230416,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2,01.02.20,
108,No Guidance (feat. Drake),Chris Brown,6157919,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX,01.02.20,
109,Look At Her Now,Selena Gomez,6143422,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m,01.02.20,
110,Up All Night,Khalid,6142780,https://open.spotify.com/track/1mpD5Q8IM32I4bF6eCpU74,01.02.20,
111,bury a friend,Billie Eilish,6138388,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF,01.02.20,
112,SAD!,XXXTENTACION,6127965,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,01.02.20,
113,Dancing With A Stranger (with Normani),Sam Smith,6116873,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,01.02.20,
